Category & Date,Month & Year,Month & Year (from Month & Year),Transaction Type,Total Revenue (from P&L),Total Profit (from P&L),Category,Category (from Category),% Allocation,Allocated Amount,Account Balance*,Actual Allocation*,Allocation Transferred,New Account Balance,Variance $,Variance,Expenses,Previous Month Reserve,DateClean
Emergency Reserve Allocation – November 2025,November 2025,November 2025,Credit,$75157.37,$42686.42,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$3841.78,$100761.08,$4863.56,checked,$105624.64,-$1021.78,99.03%,,,2025/11/1
Emergency Reserve Allocation – October 2025,October 2025,October 2025,Credit,$97913.33,$66792.33,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$6011.31,$94788.25,$5972.83,checked,$100761.08,$38.48,100.04%,,,2025/10/1
Emergency Reserve Allocation – September 2025,September 2025,September 2025,Credit,$88842.17,$50686.26,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$4561.76,$90309.41,$4478.84,checked,$94788.25,$82.92,100.09%,,,2025/09/1
Emergency Reserve Allocation – August 2025,August 2025,August 2025,Credit,$33824.66,$2065.31,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$185.88,$90643.55,-$334.14,checked,$90309.41,$520.02,100.58%,,,2025/08/1
Emergency Reserve Allocation – July 2025,July 2025,July 2025,Credit,$30297.87,$3656.37,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$329.07,$90406.05,$237.50,checked,$90643.55,$91.57,100.10%,,,2025/07/1
Emergency Reserve Allocation – June 2025,June 2025,June 2025,Credit,$53827.73,$31651.29,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$2848.62,$87511.15,$2894.90,checked,$90406.05,-$46.28,99.95%,,,2025/06/1
Emergency Reserve Allocation – May 2025,May 2025,May 2025,Credit,$24006.90,$3124.45,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$281.20,$87246.38,$264.77,checked,$87511.15,$16.43,100.02%,,,2025/05/1
Emergency Reserve Allocation – April 2025,April 2025,April 2025,Credit,$39459.06,$16434.02,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1479.06,$85181.95,$2064.43,checked,$87246.38,-$585.37,99.33%,,,2025/04/1
Emergency Reserve Allocation – March 2025,March 2025,March 2025,Credit,$18530.96,-$786.22,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,-$70.76,$85244.31,-$62.36,checked,$85181.95,-$8.40,99.99%,,,2025/03/1
Emergency Reserve Allocation – February 2025,February 2025,February 2025,Credit,$30117.41,$4340.70,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$390.66,$84460.65,$783.66,checked,$85244.31,-$393.00,99.54%,,,2025/02/1
Emergency Reserve Allocation – January 2025,January 2025,January 2025,Credit,$50628.81,$19799.41,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1781.95,$83884.06,$576.59,checked,$84460.65,$1205.36,101.43%,,,2025/01/1
Emergency Reserve Allocation – December 2024,December 2024,December 2024,Credit,$64010.11,$39441.40,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$3549.73,$81088.07,$2795.99,checked,$83884.06,$753.74,100.90%,,,2024/12/1
Emergency Reserve Allocation – November 2024,November 2024,November 2024,Credit,$86426.59,$53723.66,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$4835.13,$76304.86,$4783.21,checked,$81088.07,$51.92,100.06%,,,2024/11/1
Emergency Reserve Allocation – October 2024,October 2024,October 2024,Credit,$74587.53,$49929.95,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$4493.70,$71857.61,$4447.25,checked,$76304.86,$46.45,100.06%,,,2024/10/1
Emergency Reserve Allocation – September 2024,September 2024,September 2024,Credit,$117082.22,$79856.76,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$7187.11,$64740.95,$7116.66,checked,$71857.61,$70.45,100.10%,,,2024/09/1
Emergency Reserve Allocation – August 2024,August 2024,August 2024,Credit,$112330.33,$90689.74,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$8162.08,$56892.45,$7848.50,checked,$64740.95,$313.58,100.48%,,,2024/08/1
Emergency Reserve Allocation – July 2024,July 2024,July 2024,Credit,$85104.30,$67807.68,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$6102.69,$51559.94,$5332.51,checked,$56892.45,$770.18,101.35%,,,2024/07/1
Emergency Reserve Allocation – June 2024,June 2024,June 2024,Credit,$56779.99,$35284.36,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$3175.59,$48307.82,$3252.12,checked,$51559.94,-$76.53,99.85%,,,2024/06/1
Emergency Reserve Allocation – May 2024,May 2024,May 2024,Credit,$96046.70,$75311.65,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$6778.05,$41608.32,$6699.50,checked,$48307.82,$78.55,100.16%,,,2024/05/1
Emergency Reserve Allocation – April 2024,April 2024,April 2024,Credit,$87868.60,$65386.50,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$5884.78,$35393.82,$6214.50,checked,$41608.32,-$329.72,99.21%,,,2024/04/1
