Vendor,Recurring?,Description,Category,Expenses,Expense Categories
Amazon,,,,"$26.11,$155.68,$835.84,$51.51,$51.51,""$1,892.79"",$838.88,$32.45,$17.10,$54.87,$37.83,$22.98,$34.65,$87.03,$87.03,$42.53",
Calendly,,,,"$20.85,$20.80,$13.81,$20.89,$20.83,$13.87,$20.89,$20.65,$52.18,$82.35,$82.42,$84.24,$84.55,$42.39,$41.89,$41.22,$41.51,$41.62,$41.97,$375.13,$120.81,$21.13",Software
Canva,,,,,
DigitalOcean,,,,"$68.80,$69.33,$69.25,$67.38,$65.34,$64.90,$65.05,$66.50,$47.15,$43.51,$44.10,$44.60,$44.60,$29.24,$22.05,$28.12,$30.51,$30.79,$30.01,$39.13,$40.47,$40.76,$46.14,$52.24,$51.92,$57.58,$61.12,$61.06,$61.78,$61.43,$68.64,$71.64,$51.92",Software
DocuSign,,,,"$174.72,-$152.32,$22.40,$22.40,$22.40,$22.40,$22.40,$22.40,$67.92,$16.15,$443.52,$443.52",Software
Dropbox,,,,"$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24,$30.24",
Expandi,,,,"$142.55,$136.78,$140.53,$142.70",
Figma,,,,"$41.59,$60.80,$81.35,$104.30,$124.53,$63.37,$63.36,$61.69,$20.61,$65.41,$21.77,$87.43,$21.80,$96.14,$47.39,$682.45,$70.77,$94.50,$142.35,$70.36,$187.25,$262.23,$288.90,$31.96,$31.57,$298.34,$31.83,$916.74",
GoDaddy,,,,"$9.44,$7.10,$9.44,$7.34,$9.44,$7.08,$9.44,$7.34,$9.44,$6.90,$9.44,$7.34,$9.44,$47.48,$6.93,$9.44,$68.47,$7.34,$9.44,$7.10,$9.44,$7.34,$100.74,$110.11,$7.06,$9.44,$7.34,$9.44,$20.99,$7.18,$9.44,$7.34,$50.63,$9.44,$7.18,$9.44,$7.34,$9.44,$31.74,$6.96,$9.44,$7.34,$9.44,$7.04,$12.59,$7.34,$12.59,$12.59,$12.59,$12.59,$77.66,$100.74,$12.59,-$3.15,$12.59,$12.59,$53.78,$12.59,$12.59,$12.59,$53.78,$78.97,$13.43,$53.20,$12.59,$70.05,$15.99,$100.74,$24.63,$138.47,$12.59,$23.09,$12.59,$55.88,$12.59,$107.58,$13.43,$13.43,$133.85,$13.43,$13.43,$13.43,$13.43,$29.79,$5.57,$4.65,$28.67,$28.74,$12.59,$68.28,$8.15,$7.40,$8.01,$7.83,$133.85,$13.43,$54.85,$13.43",
Google,,,,"$139.36,$140.40,$140.40,$140.40,$2.93,$4.19,$148.44,$177.84,$4.19,$4.19,$171.49,$4.19,$149.76,$4.19,$149.76,$2.34,$2.00,$141.90,$4.19,-$2.00,$4.19,$4.19,$56.79,$56.16,$41.99,$585.91,$64.62,$20.00,$0.01,$655.18,$41.99,-$20.00,$0.01,$0.01,$0.01,$0.01,$84.67,$7.02,$0.01,$20.00",
Heroku,,,,"$10.29,$10.35,$9.93,$9.84,$9.82,$9.89,$9.94,$10.02,$10.13",
HubSpot,,,,"$43.61,$42.66,$42.55,$44.42",
Intuit,,,,,
LinkedIn,,,,"$153.10,$222.33",
Mailchimp,,,,,
Notion,,,,"$69.50,$72.79,$71.42,$71.01,$73.06,$90.79,$42.38,$59.20,$57.57,$58.14,$29.60,$45.03,$398.76,$92.23,$92.11",
OpenAI,,,,,
PayPal,,,,,
Shopify,,,,,
Slack,,,,"$104.73,$332.69,$103.60,$82.99,$81.28,$32.89,$50.65,$84.80,$40.48,$51.71,$468.00,$102.55,$169.84,$124.08,$29.54,$64.35,$24.71",
Stripe,,,,,
Twitter / X,,,,"$10.50,$36.55,$36.75,$36.75,$10.50,$36.75,$36.75,$10.50,$36.75,$13.02,$10.50,$10.50,$134.74,$10.50,$10.50,$138.06,$10.50,$226.87,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$622.23,$10.50,$10.50,$10.50,$10.00,$10.00,$10.00,$10.00,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.50,$10.00,$10.50,$10.50,$10.50",
Upwork,,,,"-$43.63,""-$1,450.72"",$873.38,$721.97,$286.98,""$1,224.30"",""$1,405.19"",""$1,405.80"",$44.18,""$1,654.14"",$793.98,$223.31,$210.71,$190.28,$895.65,$44.97,$325.68,$265.02,$754.81,$341.33,$479.70,$12.39,$592.37,$214.98,$814.01,$73.60,$95.59,$149.16,$522.44,$469.87,$822.83,$542.14,$380.33,$114.13,$94.87,$295.48,$377.19,$390.17,$925.64,$327.42,$743.51,$713.58,$854.35,$188.73,$514.35,$266.32,$66.46,$128.78,$375.94,$393.02,$361.94,$669.33,""$1,202.04"",$643.59,$212.21,$429.19,$628.00,$157.02,$925.97,$354.71,$741.47,$153.95,$906.43,""$1,069.92"",$603.24,$45.30,""$1,430.82"",$453.42,$426.17,""$1,562.29"",$952.07,$926.49,""$1,373.44"",""$1,065.14"",$908.23,$680.19,""$1,473.03"",$818.14,$537.01,$45.52,$536.81,""$1,067.91"",$727.08,""$2,339.93"",""$1,835.05"",$402.15,$917.41,$386.22,""$1,750.01"",$324.07,$704.19,$172.83,""$1,397.07"",$359.02,""$1,166.93"",$359.73,$427.65,$221.61,$469.90,$538.96,$355.35,$573.96,$283.15,$60.33,$10.03,$130.30,$158.91,$807.53,$729.35,$806.89,$751.68,$165.52,$69.42,$239.93,$18.99,$835.27,$329.84,$334.13,$354.70,$596.45,$617.01,$246.56,$740.11,$246.20,$969.40,$822.02,$61.65,$657.53,$440.99,$368.15,$221.61,$469.90,$63.40,""$1,401.01"",$538.96,$44.41,""$2,304.86"",$267.77,$297.99,$44.30,$44.13,$147.29",
Wise,,,,"$477.41,""$2,043.68"",""$1,942.35"",""$2,047.80"",""$2,976.60"",$543.55,""$4,069.34"",""$2,240.35"",""$2,004.83"",""$1,904.57"",$33.95,""$3,200.00"",$602.89,""$2,122.75"",""$3,362.17"",""$3,126.54"",""$3,357.09"",""$2,861.32"",""$2,778.18"",""$3,020.23"",$277.66,""$1,388.06"",$151.33,$492.98,""$5,000.00"",""$5,000.00"",""$5,000.00"",""$2,500.00"",""$2,500.00"",""$5,000.00"",$963.19,""$6,500.00"",""$7,051.79"",""$7,315.16"",""$6,500.00"",""$7,283.67"",""$6,971.49"",""$6,500.00"",""$6,914.56"",""$6,500.00"",""$6,881.78"",""$6,500.00"",""$6,947.31"",""$6,500.00"",""$3,121.13"",""$6,932.19"",""$6,500.00"",""$3,238.33"",""$7,025.43"",""$1,503.57"",""$6,500.00"",$112.75,""$6,500.00"",""$2,614.03"",""$2,371.20""",
Xoom,,,,"""$1,130.10"",""$4,030.73"",""$1,531.99"",""$1,684.99"",""$3,090.95"",""$1,067.28"",""$2,136.62""",
Zapier,,,,"$41.70,$41.56,$90.94,$99.66,$101.73,$102.10,$103.24,$103.31,$101.10,$101.33,$102.12,$104.68,$335.69,$9.26,$178.48,$23.87,$177.71,$23.78,$213.12,$209.57,$211.09,$330.50,$219.91,$331.31,$504.27,$384.22,$263.35,$287.05,$212.83,$42.24,$211.09",
Zoom,,,,"$24.85,$22.56,$24.87,$24.06,$22.56,$24.65,$24.06,$22.56,$24.58,$24.06,$22.56,$24.60,$24.06,$22.56,$25.14,$24.06,$22.56,$25.24,$24.06,$24.06,$25.31,$24.06,$25.01,$24.06,$24.60,$24.06,$24.78,$24.06,$24.85,$24.06,$25.06,$24.06,$219.84,$233.73,$22.56",
